Ranking,Title,Author,Price,Rating
1,52 Times Britain was a Bellend: The History You Didn’t Get Taught At School,James Felton,£0.99,4.5/5
3,The Romanovs: 1613-1918,Simon Sebag Montefiore,£6.99,4.5/5
4,The History of Ancient Egypt,Bob Brier,£0.00 Free with Audible trial,4.8/5
5,Why I’m No Longer Talking to White People About Race: The #1 Sunday Times Bestseller,Reni Eddo-Lodge,£6.29,4.6/5
6,Black and British: A Forgotten History,David Olusoga,£0.99,4.8/5
8,The Five: The Untold Lives of the Women Killed by Jack the Ripper,Hallie Rubenhold,£1.99,4.7/5
9,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump PhD,£0.00 Free with Audible trial,4.5/5
10,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump Ph.D.,£13.59,4.5/5
11,Natives: Race and Class in the Ruins of Empire - The Sunday Times Bestseller,Akala,£6.29,4.8/5
12,Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,£0.00 Free with Audible trial,4.6/5
13,The Ritz London: The Cookbook,John Williams,£19.99,4.8/5
14,Alexander Hamilton (Great Lives),Ron Chernow,£0.99,4.7/5
15,Sapiens: A Brief History of Humankind,Yuval Noah Harari,£5.99,4.6/5
17,The Five: The Untold Lives of the Women Killed by Jack the Ripper,Hallie Rubenhold,£7.99,4.7/5
18,Sapiens,Yuval Noah Harari,£0.00 Free with Audible trial,4.6/5
19,The Vikings,Kenneth W. Harl,£0.00 Free with Audible trial,4.8/5
20,The Other Side of History: Daily Life in the Ancient World,Robert Garland,£0.00 Free with Audible trial,5.0/5
22,Fantastically Great Women Who Changed The World: 1,Kate Pankhurst,£5.94,4.8/5
23,Natives: Race and Class in the Ruins of Empire,Akala,£0.00 Free with Audible trial,4.8/5
24,The Story of Medieval England: From King Arthur to the Tudor Conquest,Jennifer Paxton,£0.00 Free with Audible trial,4.5/5
25,Legacy of Empire: Britain| Zionism and the Creation of Israel,Gardner Thompson,£0.99,4.1/5
27,The Fall and Rise of China,Richard Baum,£0.00 Free with Audible trial,5.0/5
28,Becoming: Now a Major Netflix Documentary,Michelle Obama,£12.50,4.7/5
29,Lady in Waiting: My Extraordinary Life in the Shadow of the Crown,Anne Glenconner,£4.50,4.7/5
30,Why I’m No Longer Talking to White People About Race: The Sunday Times Bestseller,Reni Eddo-Lodge,£4.28,4.6/5
31,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,£11.99,4.5/5
32,King's Counsellor: Abdication and War: the Diaries of Sir Alan Lascelles edited by Duff Hart-Davis,Sir Alan Lascelles,£13.19,4.4/5
33,Armageddon: The Battle for Germany 1944-45,Max Hastings,£8.99,4.5/5
34,Dead Famous: An Unexpected History of Celebrity from Bronze Age to Silver Screen,Greg Jenner,£7.99,4.8/5
35,The History of Ancient Rome,Garrett G. Fagan,£0.00 Free with Audible trial,2.8/5
36,No Way Out: The Searing True Story of Men Under Siege,Adam Jowett,£0.00 Free with Audible trial,4.7/5
37,The Son and Heir: A Memoir,Alexander Münninghoff,£3.29,4.0/5
38,Understanding Japan: A Cultural History,Mark J. Ravina,£0.00 Free with Audible trial,5.0/5
40,Court Number One: The Old Bailey Trials that Defined Modern Britain,Thomas Grant,£0.99,4.5/5
41,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,£0.00 Free with Audible trial,4.7/5
42,The Nazis: A Warning From History,Laurence Rees,£0.99,4.6/5
44,The American Civil War,Gary W. Gallagher,£0.00 Free with Audible trial,5.0/5
45,The History of the United States| 2nd Edition,The Great Courses,£0.00 Free with Audible trial,5.0/5
46,King's Counsellor: Abdication and War: the Diaries of Sir Alan Lascelles edited by Duff Hart-Davis,Alan Lascelles,£7.99,4.4/5
48,How to be a Victorian,Ruth Goodman,£0.99,4.7/5
49,Band Of Brothers,Stephen E. Ambrose,£0.99,4.7/5
